                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.57143,                0.31741,                0.96333,                0.98578,                      1,                  0.995,                0.87964,                0.59681,                0.29321,                0.92282,             0.00088584,             0.00088584,             0.00088584
                    145,                0.57251,                0.30739,                0.98909,                0.98991,                      1,                  0.995,                0.87616,                0.56725,                0.30244,                0.91846,             0.00088034,             0.00088034,             0.00088034
                    146,                0.56983,                0.29783,                0.95695,                0.98846,                      1,                  0.995,                0.87743,                0.50956,                0.26098,                0.91519,             0.00087484,             0.00087484,             0.00087484
                    147,                0.56858,                 0.2922,                0.95762,                0.78086,                      1,                  0.995,                0.89453,                0.51437,                0.30723,                0.91712,             0.00086934,             0.00086934,             0.00086934
                    148,                0.57907,                0.29875,                0.98573,                0.82693,                0.94755,                0.85667,                0.74641,                0.56188,                0.37238,                0.92831,             0.00086384,             0.00086384,             0.00086384
                    149,                0.59892,                0.31065,                 1.0026,                0.74383,                 0.8944,                0.82817,                0.73013,                0.54617,                0.46069,                0.92007,             0.00085834,             0.00085834,             0.00085834
                    150,                0.54801,                0.29944,                0.94017,                0.65043,                0.91595,                 0.7047,                0.62276,                0.57602,                0.74591,                0.92278,             0.00085284,             0.00085284,             0.00085284
                    151,                0.55762,                0.30274,                0.94369,                0.65873,                0.89069,                0.67602,                0.59712,                0.54794,                0.81904,                0.90256,             0.00084734,             0.00084734,             0.00084734
                    152,                0.59625,                0.32785,                0.96354,                0.73172,                0.97218,                 0.7875,                0.70735,                0.52305,                0.45789,                0.90065,             0.00084184,             0.00084184,             0.00084184
                    153,                0.54078,                0.28412,                0.93833,                0.94971,                      1,                  0.995,                0.88042,                0.52701,                0.33263,                0.89868,             0.00083633,             0.00083633,             0.00083633
